index,axis-0,axis-1,axis-2
0,1928,2270.553793,1960.17453
1,1952,3069.324548,2568.088556
2,792,1815.796401,1425.304437
3,904,1615.514649,2259.419031
4,1256,1445.864223,654.8087535
5,1872,1169.374346,1080.687789
6,1864,1958.808504,2709.514463
7,1632,2476.680505,1983.876678
8,1632,1373.164452,1515.318362
9,1632,1631.36459,2679.701675
10,2352,2944.07138,2290.895554
11,1120,1848.043491,3369.45649
12,1208,910.2978846,1794.297795
13,1208,724.1612727,2013.134082
14,1272,1203.895883,1579.480265
15,1672,1695.223539,2756.676896
16,1736,2814.952183,1869.192872
17,1736,2679.265381,1898.778716
18,1912,1603.498399,3274.648516
19,2048,1358.380515,721.7318303
