index,axis-0,axis-1,axis-2
0,888,1669.422602,1635.067332
1,904,2233.346596,2062.939733
2,96,1344.081836,1262.404273
3,176,1204.086718,1848.017651
4,424,1085.780985,722.1414249
5,856,896.1310104,1016.276496
6,848,1447.192321,2167.074569
7,680,1812.59135,1649.713225
8,680,1038.375306,1323.860383
9,680,1218.34455,2139.510465
10,1184,2143.017956,1868.279141
11,328,1369.05243,2624.215494
12,392,711.927623,1519.709294
13,392,581.3076705,1672.526101
14,440,918.8873352,1367.749216
15,712,1264.767891,2194.292523
16,752,2052.37138,1571.91176
17,752,1956.803261,1592.687439
18,880,1200.909813,2556.084304
19,976,1030.941684,767.4817001
